topic,pair_count,relevant_count,weakly_relevant_count,irrelevant_count,unclear_count,low_information_count,keep_count,keep_rate,avg_confidence,avg_likes,avg_replies,avg_reposts,avg_views
AI 语音诈骗是否应强制披露或限制？,104,60,31,7,6,0,91,0.875,0.7573,17.7019,0.4808,-1.0,72.0
IVF 等辅助生殖治疗是否应获得更多公共支持？,42,5,34,0,1,2,39,0.9286,0.716,30.7619,0.1905,-1.0,0.0
信用卡滞纳金是否应被限制？,53,15,0,37,1,0,15,0.283,0.7836,7.0189,0.3962,-1.0,0.0
医疗债务是否不应影响个人信用记录？,147,77,0,64,5,1,77,0.5238,0.7964,94.517,1.381,-1.0,0.0
大学生是否应更容易获得 SNAP 食品援助？,45,17,5,19,2,2,22,0.4889,0.784,27.0889,24.7333,-1.0,0.0
小费收入是否应免税？,9,6,0,3,0,0,6,0.6667,0.8422,4.0,2.0,-1.0,0.0
平台是否应强制移除非自愿 AI 伪造私密影像？,172,68,10,69,24,1,78,0.4535,0.7614,329.9767,5.7674,-1.0,0.0
平台是否应承担更严格的儿童网络安全保护责任？,202,53,0,134,6,9,53,0.2624,0.7698,20.1782,2.1436,-1.0,0.0
政府是否应保护堕胎服务的可及性？,103,31,0,70,2,0,31,0.301,0.7701,63.9223,1.8447,-1.0,0.0
政府是否应扩大纳洛酮等阿片过量急救药的获取？,128,65,1,58,3,1,66,0.5156,0.7913,19.2266,1.0547,-1.0,0.0
政府是否应补贴儿童照护费用？,8,0,0,8,0,0,0,0.0,0.755,214.375,3.375,-1.0,0.0
政府是否应补贴家庭净水设备以应对 PFAS 等污染？,82,28,5,34,13,2,33,0.4024,0.7526,11.7683,1.1707,-1.0,0.0
政府是否应进一步压低处方药价格？,179,74,5,92,5,3,79,0.4413,0.7844,97.5698,6.1788,-1.0,0.0
数据经纪商是否应被禁止出售敏感个人数据？,178,66,2,90,20,0,68,0.382,0.7616,4.9888,0.3539,-1.0,0.0
是否应加强警察问责并限制 qualified immunity？,153,64,6,72,8,3,70,0.4575,0.7912,183.9477,7.3333,-1.0,6.0
是否应延续低收入家庭宽带补贴？,44,10,0,33,1,0,10,0.2273,0.7686,6.2727,0.5909,-1.0,273.0
是否应延续或扩大医保保费补贴？,136,77,0,55,1,3,77,0.5662,0.7877,4.1838,0.4412,-1.0,1081.0
是否应恢复或强化网络中立性规则？,109,54,2,38,9,6,56,0.5138,0.7931,41.3028,2.9725,-1.0,0.0
是否应扩大儿童税收抵免或改成按月发放？,16,11,0,3,2,0,11,0.6875,0.815,3.0,0.1875,-1.0,0.0
是否应扩大免费学校餐？,54,41,0,12,0,1,41,0.7593,0.8533,73.7778,2.2407,-1.0,0.0
是否应扩大心理健康服务可及性？,129,26,0,101,2,0,26,0.2016,0.7628,2.4651,0.7519,-1.0,0.0
是否应提供带薪家庭假和育儿假？,90,79,0,9,1,1,79,0.8778,0.857,30.3778,7.3889,-1.0,0.0
是否应提高联邦最低工资？,55,25,0,26,1,3,25,0.4545,0.8209,297.0182,181.3818,-1.0,0.0
是否应继续补贴 EV 充电基础设施？,62,15,0,47,0,0,15,0.2419,0.7771,1.6452,0.5645,-1.0,0.0
是否应要求更严格的枪支安全存储？,53,11,0,40,2,0,11,0.2075,0.7723,9.4151,0.2264,-1.0,0.0
枪支遗失或被盗后是否应强制上报？,105,36,1,55,11,2,37,0.3524,0.769,701.5143,14.0571,-1.0,0.0
气候变化是否应作为公共健康问题治理？,109,14,0,90,4,1,14,0.1284,0.7571,21.2385,1.7156,-1.0,0.0
演唱会和体育赛事门票是否应强制显示全价？,82,26,0,54,1,1,26,0.3171,0.7911,263.061,4.0976,-1.0,45.0
美国是否应加强移民执法和庇护限制？,215,51,0,142,19,3,51,0.2372,0.7637,560.9767,49.3721,-1.0,0.0
美国是否应加强边境技术和监控？,189,57,9,88,33,2,66,0.3492,0.7415,143.7778,12.582,-1.0,402.0
美国是否应对芬太尼采取更严格管制和刑事打击？,54,42,0,11,1,0,42,0.7778,0.8431,57.8889,4.1852,-1.0,346.0
美国是否应征收或避免征收碳税？,218,84,0,114,18,2,84,0.3853,0.7857,37.9083,2.6697,-1.0,0.0
美国是否应扩大可负担住房供给？,35,11,0,24,0,0,11,0.3143,0.776,3.1429,0.2286,-1.0,0.0
美国是否应扩大液化天然气 LNG 出口？,137,43,3,85,6,0,46,0.3358,0.7723,14.1314,1.2336,-1.0,0.0
跨性别运动员是否应参加女子体育项目？,51,31,2,14,4,0,33,0.6471,0.7906,110.8235,147.1961,-1.0,0.0
避孕服务是否应免除自付费用？,97,32,0,65,0,0,32,0.3299,0.7633,431.6804,4.866,-1.0,0.0
高校是否应为高学费和学生债务承担更多责任？,66,11,0,54,1,0,11,0.1667,0.7635,93.9091,7.4848,-1.0,0.0
